Context,Mol_L,Frag_L,Mol_R,Frag_R
[*]N[C@H]1CC[C@H]([C@H](N)C(=O)N2CCC(F)(F)C2)CC1,N[C@H](C(=O)N1CCC(F)(F)C1)[C@H]1CC[C@H](NC(=O)c2ccc(F)c(F)c2)CC1,CC(C)NC(=O)c1ccc(F)c(F)c1,N[C@H](C(=O)N1CCC(F)(F)C1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(OC(F)(F)F)cc2)CC1,CC(C)NS(=O)(=O)c1ccc(OC(F)(F)F)cc1
[*]c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1,Cc1c(-c2ccc3cc(CCN4CCC[C@H]4C)ccc3n2)cnn1C,cc(n)-c1cnn(C)c1C,C[C@@H]1CCCN1CCc1ccc2nc(-c3ccc(Cl)nc3)ccc2c1,cc(n)-c1ccc(Cl)nc1
[*]C1=CC2(CCNCC2)Oc2ccccc21,CC(C)CNC(=O)c1ccc(C2=CC3(CCNCC3)Oc3ccccc32)cc1,C=C(c)c1ccc(C(=O)NCC(C)C)cc1,CCN(CC)C(=O)c1ccc(C2=CC3(CCNCC3)Oc3ccccc32)c(C)c1,C=C(c)c1ccc(C(=O)N(CC)CC)cc1C
[*]C(=O)NC1CCN(Cc2ccn(-c3ccc(C(F)(F)F)cc3)c2)CC1,CN(CC1(O)CCCCC1)C(=O)NC1CCN(Cc2ccn(-c3ccc(C(F)(F)F)cc3)c2)CC1,CNC(=O)N(C)CC1(O)CCCCC1,CN1CCN(C(=O)NC2CCN(Cc3ccn(-c4ccc(C(F)(F)F)cc4)c3)CC2)C(c2ccccc2)C1,CNC(=O)N1CCN(C)CC1c1ccccc1
[*]c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1,C[C@@H]1CCCN1CCc1ccc2nc(-c3nc4ccccc4s3)ccc2c1,cc(n)-c1nc2ccccc2s1,Cc1cc(-c2ccc3cc(CCN4CCC[C@H]4C)ccc3n2)nc(-c2ccccc2)n1,cc(n)-c1cc(C)nc(-c2ccccc2)n1
[*]C1CCC(N2CC(NC(=O)CNc3n[nH]c4ccc(C(F)(F)F)cc43)C2)CC1,O=C(CNc1n[nH]c2ccc(C(F)(F)F)cc21)NC1CN([C@H]2CC[C@@H](O)CC2)C1,CCC(O)CC,C=CCO[C@H]1CC[C@@H](N2CC(NC(=O)CNc3n[nH]c4ccc(C(F)(F)F)cc43)C2)CC1,C=CCOC(CC)CC
[*]c1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12,O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1,cc1cncc1C1CCN(CCN2CCNC2=O)CC1,CCC(O)(CC)c1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12,cc1cncc1C(O)(CC)CC
[*]c1cc(C(=O)N2CCC(CCN3C4CCC3CC(n3c(C)nc5ccccc53)C4)(c3cccc(F)c3)CC2)c(Cl)cc1F,Cc1nc2ccccc2n1C1CC2CCC(C1)N2CCC1(c2cccc(F)c2)CCN(C(=O)c2cc(NS(C)(=O)=O)c(F)cc2Cl)CC1,ccc(NS(C)(=O)=O)c(c)F,CCNS(=O)(=O)c1cc(C(=O)N2CCC(CCN3C4CCC3CC(n3c(C)nc5ccccc53)C4)(c3cccc(F)c3)CC2)c(Cl)cc1F,ccc(c(c)F)S(=O)(=O)NCC
[*]CNc1cc(N2CCOCC2)cc(CCc2nc(C)c(CC)o2)n1,CCc1oc(CCc2cc(N3CCOCC3)cc(NC)n2)nc1C,cc(n)NC,CCc1oc(CCc2cc(N3CCOCC3)cc(NCC#N)n2)nc1C,cc(n)NCC#N
[*]c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1,Cc1n[nH]cc1-c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1,cc(n)-c1c[nH]nc1C,Cc1c(-c2ccc(Cl)cc2)noc1-c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1,cc(n)-c1onc(-c2ccc(Cl)cc2)c1C
