Context,Mol_L,Frag_L,Mol_R,Frag_R
[*]N1CCC2(C=C(c3ccc(C(=O)N(CC)CC)cc3)c3ccccc3O2)CC1,CCN(CC)C(=O)c1ccc(C2=CC3(CCNCC3)Oc3ccccc32)cc1,C1CCNCC1,CCN(CC)C(=O)c1ccc(C2=CC3(CCN(CC)CC3)Oc3ccccc32)cc1,CCN1CCCCC1
[*]CCNS(=O)(=O)c1ccc(-c2ccc(CCN3CCC[C@H]3C)cc2)cc1,CCCNS(=O)(=O)c1ccc(-c2ccc(CCN3CCC[C@H]3C)cc2)cc1,CCCN,COCCNS(=O)(=O)c1ccc(-c2ccc(CCN3CCC[C@H]3C)cc2)cc1,COCCN
[*]C1CCC(N2CC(NC(=O)CNc3nn(C)c4ccc(C(F)(F)F)cc43)C2)CC1,Cc1ccc([C@H]2CC[C@@H](N3CC(NC(=O)CNc4nn(C)c5ccc(C(F)(F)F)cc54)C3)CC2)cn1,[CH]c1ccc(C)nc1,Cn1nc(NCC(=O)NC2CN([C@H]3CC[C@@H](c4ccc5c(c4)OCO5)CC3)C2)c2cc(C(F)(F)F)ccc21,[CH]c1ccc2c(c1)OCO2
[*]c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1,COC(=O)c1cc(-c2ccc3cc(CCN4CCC[C@H]4C)ccc3n2)on1,cc(n)-c1cc(C(=O)OC)no1,C[C@@H]1CCCN1CCc1ccc2nc(-c3cnccn3)ccc2c1,cc(n)-c1cnccn1
[*]c1ccc2c(c1)N(CCN1CCC(NCc3ccc4c(n3)NC(=O)CO4)CC1)C(=O)CO2,O=C1COc2ccc(CNC3CCN(CCN4C(=O)COc5ccc(OC(F)(F)F)cc54)CC3)nc2N1,ccc(cc)OC(F)(F)F,CC(=O)c1ccc2c(c1)N(CCN1CCC(NCc3ccc4c(n3)NC(=O)CO4)CC1)C(=O)CO2,ccc(cc)C(C)=O
[*]COc1cc(CCCOC)cc(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)c1,COCCCc1cc(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OC[C@H]2C[C@@H]2C(=O)OCC(=O)N(C)C)c1,cOCC1CC1C(=O)OCC(=O)N(C)C,COCCCc1cc(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCC2(Cc3nn[nH]n3)CC2)c1,cOCC1(Cc2nn[nH]n2)CC1
[*]c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1,Cc1c(-c2ccc3cc(CCN4CCC[C@H]4C)ccc3n2)cnn1-c1ccc(Cl)c(Cl)c1,cc(n)-c1cnn(-c2ccc(Cl)c(Cl)c2)c1C,Cc1onc(-c2ccccc2)c1-c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1,cc(n)-c1c(C)onc1-c1ccccc1
[*]C1CN(c2nc3c(CC)nn(CCOCC(F)(F)F)c3c(Nc3ccncn3)n2)CCN1,CCc1nn(CCOCC(F)(F)F)c2c1nc(N1CCNCC1)nc2Nc1ccncn1,cN1CCNCC1,CCc1nn(CCOCC(F)(F)F)c2c1nc(N1CCN[C@H](C)C1)nc2Nc1ccncn1,CC1CN(c)CCN1
[*]NC1CCc2ccc(CCN3CCN(c4nsc5ccccc54)CC3)cc21,NC1CCc2ccc(CCN3CCN(c4nsc5ccccc54)CC3)cc21,cc1cCCC1N,O=C(NC1CCc2ccc(CCN3CCN(c4nsc5ccccc54)CC3)cc21)c1cccnc1,cc1cCCC1NC(=O)c1cccnc1
[*]CCCSc1nnc(-c2ocnc2C)n1C,Cc1ncoc1-c1nnc(SCCCN2CCC3(CCc4c3cccc4Br)C2)n1C,Brc1cccc2c1CCC2,Cc1ncoc1-c1nnc(SCCCN2CCC3(CCc4ccc(Br)cc43)C2)n1C,Brc1ccc2c(c1)CCC2
