Context,Mol_L,Frag_L,Mol_R,Frag_R,Radius
[*]CCN1CCN(c2cccc3nc(C)ccc32)CC1,Cc1nnc2n1-c1cccc(CCN3CCN(c4cccc5nc(C)ccc54)CC3)c1OC2,[CH3][c]1[cH][cH][cH][c]2[c]1[O][CH2][c]1[n][n][c]([CH3])[n]1-2,Cc1ccc2c(cccc2N2CCN(CCc3cccc4c3OCC(=O)N4C)CC2)n1,[CH3][c]1[cH][cH][cH][c]2[c]1[O][CH2][C](=[O])[N]2[CH3],4
[*]CCN1CCN(c2cccc3nc(C)ccc32)CC1,Cc1nnc2n1-c1cccc(CCN3CCN(c4cccc5nc(C)ccc54)CC3)c1OC2,[cH2][cH][c]1[c]([cH2])[O][CH2][c]2[n][n][c]([CH3])[n]2-1,Cc1ccc2c(cccc2N2CCN(CCc3cccc4c3OCC(=O)N4C)CC2)n1,[cH2][cH][c]1[c]([cH2])[O][CH2][C](=[O])[N]1[CH3],3
[*]CCN1CCN(c2cccc3nc(C)ccc32)CC1,Cc1nnc2n1-c1cccc(CCN3CCN(c4cccc5nc(C)ccc54)CC3)c1OC2,[cH2][c]1[cH][O][CH2][c]2[n][n][c]([CH3])[n]2-1,Cc1ccc2c(cccc2N2CCN(CCc3cccc4c3OCC(=O)N4C)CC2)n1,[cH2][c]1[cH][O][CH2][C](=[O])[N]1[CH3],2
[*]CCN1CCN(c2cccc3nc(C)ccc32)CC1,Cc1nnc2n1-c1cccc(CCN3CCN(c4cccc5nc(C)ccc54)CC3)c1OC2,[CH3][c]1[n][n][c]([CH3])[n]1-[cH3],Cc1ccc2c(cccc2N2CCN(CCc3cccc4c3OCC(=O)N4C)CC2)n1,[CH3][C](=[O])[N]([cH3])[CH3],1
[*]c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1,COC(=O)c1cc(-c2ccc3cc(CCN4CCC[C@H]4C)ccc3n2)on1,[cH2][cH][c]([n][cH2])-[c]1[cH][c]([C](=[O])[O][CH3])[n][o]1,C[C@@H]1CCCN1CCc1ccc2nc(-c3ccc(C#N)cc3)ccc2c1,[cH2][cH][c]([n][cH2])-[c]1[cH][cH][c]([C]#[N])[cH][cH]1,4
[*]c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1,COC(=O)c1cc(-c2ccc3cc(CCN4CCC[C@H]4C)ccc3n2)on1,[cH2][c]([nH])-[c]1[cH][c]([C](=[O])[O][CH3])[n][o]1,C[C@@H]1CCCN1CCc1ccc2nc(-c3ccc(C#N)cc3)ccc2c1,[cH2][c]([nH])-[c]1[cH][cH][c]([C]#[N])[cH][cH]1,3
[*]c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1,COC(=O)c1cc(-c2ccc3cc(CCN4CCC[C@H]4C)ccc3n2)on1,[CH3][O][C](=[O])[c]1[cH][c](-[cH3])[o][n]1,C[C@@H]1CCCN1CCc1ccc2nc(-c3ccc(C#N)cc3)ccc2c1,[cH3]-[c]1[cH][cH][c]([C]#[N])[cH][cH]1,2
[*]c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1,COC(=O)c1cc(-c2ccc3cc(CCN4CCC[C@H]4C)ccc3n2)on1,[CH3][O][C](=[O])[c]1[cH][cH][o][n]1,C[C@@H]1CCCN1CCc1ccc2nc(-c3ccc(C#N)cc3)ccc2c1,[N]#[C][c]1[cH][cH][cH][cH][cH]1,1
[*]n1nc(NCC(=O)NC2CN([C@H]3CC[C@@H](C(=O)OCC)CC3)C2)c2cc(C(F)(F)F)ccc21,CCOC(=O)[C@H]1CC[C@@H](N2CC(NC(=O)CNc3nn(C)c4ccc(C(F)(F)F)cc43)C2)CC1,[cH2][cH][c]1[c]([cH2])[c]([NH2])[n][n]1[CH3],CCOC(=O)[C@H]1CC[C@@H](N2CC(NC(=O)CNc3nn(C4CCCC4)c4ccc(C(F)(F)F)cc43)C2)CC1,[cH2][cH][c]1[c]([cH2])[c]([NH2])[n][n]1[CH]1[CH2][CH2][CH2][CH2]1,4
[*]n1nc(NCC(=O)NC2CN([C@H]3CC[C@@H](C(=O)OCC)CC3)C2)c2cc(C(F)(F)F)ccc21,CCOC(=O)[C@H]1CC[C@@H](N2CC(NC(=O)CNc3nn(C)c4ccc(C(F)(F)F)cc43)C2)CC1,[cH2][c]1[cH][cH][n][n]1[CH3],CCOC(=O)[C@H]1CC[C@@H](N2CC(NC(=O)CNc3nn(C4CCCC4)c4ccc(C(F)(F)F)cc43)C2)CC1,[cH2][c]1[cH][cH][n][n]1[CH]1[CH2][CH2][CH2][CH2]1,3
[*]n1nc(NCC(=O)NC2CN([C@H]3CC[C@@H](C(=O)OCC)CC3)C2)c2cc(C(F)(F)F)ccc21,CCOC(=O)[C@H]1CC[C@@H](N2CC(NC(=O)CNc3nn(C)c4ccc(C(F)(F)F)cc43)C2)CC1,[cH2][n]([CH3])[nH],CCOC(=O)[C@H]1CC[C@@H](N2CC(NC(=O)CNc3nn(C4CCCC4)c4ccc(C(F)(F)F)cc43)C2)CC1,[cH2][n]([nH])[CH]1[CH2][CH2][CH2][CH2]1,2
[*]n1nc(NCC(=O)NC2CN([C@H]3CC[C@@H](C(=O)OCC)CC3)C2)c2cc(C(F)(F)F)ccc21,CCOC(=O)[C@H]1CC[C@@H](N2CC(NC(=O)CNc3nn(C)c4ccc(C(F)(F)F)cc43)C2)CC1,[CH3][nH2],CCOC(=O)[C@H]1CC[C@@H](N2CC(NC(=O)CNc3nn(C4CCCC4)c4ccc(C(F)(F)F)cc43)C2)CC1,[nH2][CH]1[CH2][CH2][CH2][CH2]1,1
[*]c1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12,CCC(=O)c1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12,[cH2][cH][c]1[c]([C](=[O])[CH2][CH3])[cH][n](-[cH3])[c]1[cH2],CC(O)c1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12,[cH2][cH][c]1[c]([CH]([CH3])[OH])[cH][n](-[cH3])[c]1[cH2],4
[*]c1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12,CCC(=O)c1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12,[cH2][c]1[cH][n][cH][c]1[C](=[O])[CH2][CH3],CC(O)c1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12,[cH2][c]1[cH][n][cH][c]1[CH]([CH3])[OH],3
[*]c1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12,CCC(=O)c1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12,[cH2][c]([cH2])[C](=[O])[CH2][CH3],CC(O)c1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12,[cH2][c]([cH2])[CH]([CH3])[OH],2
[*]c1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12,CCC(=O)c1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12,[CH3][CH2][C]([cH3])=[O],CC(O)c1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12,[CH3][CH]([cH3])[OH],1
[*]S(=O)(=O)C1CCN(CCc2ccc(F)cc2F)CC1,O=S(=O)(c1ccc(F)cc1)C1CCN(CCc2ccc(F)cc2F)CC1,[CH3][S](=[O])(=[O])[c]1[cH][cH][c]([F])[cH][cH]1,NC(=O)c1cccc(S(=O)(=O)C2CCN(CCc3ccc(F)cc3F)CC2)c1,[CH3][S](=[O])(=[O])[c]1[cH][cH][cH][c]([C]([NH2])=[O])[cH]1,4
[*]S(=O)(=O)C1CCN(CCc2ccc(F)cc2F)CC1,O=S(=O)(c1ccc(F)cc1)C1CCN(CCc2ccc(F)cc2F)CC1,[F][c]1[cH][cH][c]([SH])[cH][cH]1,NC(=O)c1cccc(S(=O)(=O)C2CCN(CCc3ccc(F)cc3F)CC2)c1,[NH2][C](=[O])[c]1[cH][cH][cH][c]([SH])[cH]1,3
[*]S(=O)(=O)C1CCN(CCc2ccc(F)cc2F)CC1,O=S(=O)(c1ccc(F)cc1)C1CCN(CCc2ccc(F)cc2F)CC1,[F][c]1[cH][cH][cH][cH][cH]1,NC(=O)c1cccc(S(=O)(=O)C2CCN(CCc3ccc(F)cc3F)CC2)c1,[NH2][C](=[O])[c]1[cH][cH][cH][cH][cH]1,2
[*]S(=O)(=O)C1CCN(CCc2ccc(F)cc2F)CC1,O=S(=O)(c1ccc(F)cc1)C1CCN(CCc2ccc(F)cc2F)CC1,[cH2][cH][c]([cH2])[F],NC(=O)c1cccc(S(=O)(=O)C2CCN(CCc3ccc(F)cc3F)CC2)c1,[cH2][cH][c]([cH2])[C]([NH2])=[O],1
[*]N1CCN(CCN2Cc3ccccc3C2)C1=O,O=C1N(CCN2Cc3ccccc3C2)CCN1c1csc2ccccc12,[O]=[C]1[NH][CH2][CH2][N]1[c]1[cH][s][c]2[cH][cH][cH][cH][c]12,N#Cc1cccc(N2CCN(CCN3Cc4ccccc4C3)C2=O)c1,[N]#[C][c]1[cH][cH][cH][c]([N]2[CH2][CH2][NH][C]2=[O])[cH]1,4
[*]N1CCN(CCN2Cc3ccccc3C2)C1=O,O=C1N(CCN2Cc3ccccc3C2)CCN1c1csc2ccccc12,[CH3][N]([CH3])[c]1[cH][s][c]2[cH][cH][cH][cH][c]12,N#Cc1cccc(N2CCN(CCN3Cc4ccccc4C3)C2=O)c1,[CH3][N]([CH3])[c]1[cH][cH][cH][c]([C]#[N])[cH]1,3
[*]N1CCN(CCN2Cc3ccccc3C2)C1=O,O=C1N(CCN2Cc3ccccc3C2)CCN1c1csc2ccccc12,[NH2][c]1[cH][s][c]2[cH][cH][cH][cH][c]12,N#Cc1cccc(N2CCN(CCN3Cc4ccccc4C3)C2=O)c1,[N]#[C][c]1[cH][cH][cH][c]([NH2])[cH]1,2
[*]N1CCN(CCN2Cc3ccccc3C2)C1=O,O=C1N(CCN2Cc3ccccc3C2)CCN1c1csc2ccccc12,[cH]1[cH][cH][c]2[s][cH][cH][c]2[cH]1,N#Cc1cccc(N2CCN(CCN3Cc4ccccc4C3)C2=O)c1,[N]#[C][c]1[cH][cH][cH][cH][cH]1,1
[*]c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1,C[C@@H]1CCCN1CCc1ccc2nc(-c3csc(-c4cc(Cl)nc(Cl)c4)n3)ccc2c1,[cH2][cH][c]([n][cH2])-[c]1[cH][s][c](-[c]2[cH][c]([Cl])[n][c]([Cl])[cH]2)[n]1,C[C@@H]1CCCN1CCc1ccc2nc(-c3ccc(-n4ccc(=O)cc4)cc3)ccc2c1,[cH2][cH][c]([n][cH2])-[c]1[cH][cH][c](-[n]2[cH][cH][c](=[O])[cH][cH]2)[cH][cH]1,4
[*]c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1,C[C@@H]1CCCN1CCc1ccc2nc(-c3csc(-c4cc(Cl)nc(Cl)c4)n3)ccc2c1,[cH2][c]([nH])-[c]1[cH][s][c](-[c]2[cH][c]([Cl])[n][c]([Cl])[cH]2)[n]1,C[C@@H]1CCCN1CCc1ccc2nc(-c3ccc(-n4ccc(=O)cc4)cc3)ccc2c1,[cH2][c]([nH])-[c]1[cH][cH][c](-[n]2[cH][cH][c](=[O])[cH][cH]2)[cH][cH]1,3
[*]c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1,C[C@@H]1CCCN1CCc1ccc2nc(-c3csc(-c4cc(Cl)nc(Cl)c4)n3)ccc2c1,[cH3]-[c]1[cH][s][c](-[c]2[cH][c]([Cl])[n][c]([Cl])[cH]2)[n]1,C[C@@H]1CCCN1CCc1ccc2nc(-c3ccc(-n4ccc(=O)cc4)cc3)ccc2c1,[cH3]-[c]1[cH][cH][c](-[n]2[cH][cH][c](=[O])[cH][cH]2)[cH][cH]1,2
[*]c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1,C[C@@H]1CCCN1CCc1ccc2nc(-c3csc(-c4cc(Cl)nc(Cl)c4)n3)ccc2c1,[Cl][c]1[cH][c](-[c]2[n][cH][cH][s]2)[cH][c]([Cl])[n]1,C[C@@H]1CCCN1CCc1ccc2nc(-c3ccc(-n4ccc(=O)cc4)cc3)ccc2c1,[O]=[c]1[cH][cH][n](-[c]2[cH][cH][cH][cH][cH]2)[cH][cH]1,1
[*]C(=O)CC1CCN(Cc2ccn(-c3ccc(C(F)(F)F)cc3)c2)CC1,O=C(CC1CCN(Cc2ccn(-c3ccc(C(F)(F)F)cc3)c2)CC1)NC(c1ccccc1)c1ccccn1,[CH3][CH]([CH3])[CH2][C](=[O])[NH][CH]([c]1[cH][cH][cH][cH][cH]1)[c]1[cH][cH][cH][cH][n]1,O=C(CC1CCN(Cc2ccn(-c3ccc(C(F)(F)F)cc3)c2)CC1)N1CCN(C(=O)N2CCCC2)CC1,[CH3][CH]([CH3])[CH2][C](=[O])[N]1[CH2][CH2][N]([C](=[O])[N]2[CH2][CH2][CH2][CH2]2)[CH2][CH2]1,4
[*]C(=O)CC1CCN(Cc2ccn(-c3ccc(C(F)(F)F)cc3)c2)CC1,O=C(CC1CCN(Cc2ccn(-c3ccc(C(F)(F)F)cc3)c2)CC1)NC(c1ccccc1)c1ccccn1,[CH3][CH2][C](=[O])[NH][CH]([c]1[cH][cH][cH][cH][cH]1)[c]1[cH][cH][cH][cH][n]1,O=C(CC1CCN(Cc2ccn(-c3ccc(C(F)(F)F)cc3)c2)CC1)N1CCN(C(=O)N2CCCC2)CC1,[CH3][CH2][C](=[O])[N]1[CH2][CH2][N]([C](=[O])[N]2[CH2][CH2][CH2][CH2]2)[CH2][CH2]1,3
[*]C(=O)CC1CCN(Cc2ccn(-c3ccc(C(F)(F)F)cc3)c2)CC1,O=C(CC1CCN(Cc2ccn(-c3ccc(C(F)(F)F)cc3)c2)CC1)NC(c1ccccc1)c1ccccn1,[CH3][C](=[O])[NH][CH]([c]1[cH][cH][cH][cH][cH]1)[c]1[cH][cH][cH][cH][n]1,O=C(CC1CCN(Cc2ccn(-c3ccc(C(F)(F)F)cc3)c2)CC1)N1CCN(C(=O)N2CCCC2)CC1,[CH3][C](=[O])[N]1[CH2][CH2][N]([C](=[O])[N]2[CH2][CH2][CH2][CH2]2)[CH2][CH2]1,2
[*]C(=O)CC1CCN(Cc2ccn(-c3ccc(C(F)(F)F)cc3)c2)CC1,O=C(CC1CCN(Cc2ccn(-c3ccc(C(F)(F)F)cc3)c2)CC1)NC(c1ccccc1)c1ccccn1,[CH3][NH][CH]([c]1[cH][cH][cH][cH][cH]1)[c]1[cH][cH][cH][cH][n]1,O=C(CC1CCN(Cc2ccn(-c3ccc(C(F)(F)F)cc3)c2)CC1)N1CCN(C(=O)N2CCCC2)CC1,[CH3][N]1[CH2][CH2][N]([C](=[O])[N]2[CH2][CH2][CH2][CH2]2)[CH2][CH2]1,1
[*]CCN1CCC(NCc2cc3c(cn2)OCCO3)CC1,COc1ccc2ncc(=O)n(CCN3CCC(NCc4cc5c(cn4)OCCO5)CC3)c2c1,[CH3][O][c]1[cH][cH][c]2[n][cH][c](=[O])[n]([CH2][CH2][N]([CH3])[CH3])[c]2[cH]1,O=C1COc2ccccc2N1CCN1CCC(NCc2cc3c(cn2)OCCO3)CC1,[CH3][N]([CH3])[CH2][CH2][N]1[C](=[O])[CH2][O][c]2[cH][cH][cH][cH][c]21,4
[*]CCN1CCC(NCc2cc3c(cn2)OCCO3)CC1,COc1ccc2ncc(=O)n(CCN3CCC(NCc4cc5c(cn4)OCCO5)CC3)c2c1,[CH3][O][c]1[cH][cH][c]2[n][cH][c](=[O])[n]([CH2][CH2][NH2])[c]2[cH]1,O=C1COc2ccccc2N1CCN1CCC(NCc2cc3c(cn2)OCCO3)CC1,[NH2][CH2][CH2][N]1[C](=[O])[CH2][O][c]2[cH][cH][cH][cH][c]21,3
[*]CCN1CCC(NCc2cc3c(cn2)OCCO3)CC1,COc1ccc2ncc(=O)n(CCN3CCC(NCc4cc5c(cn4)OCCO5)CC3)c2c1,[CH3][CH2][n]1[c](=[O])[cH][n][c]2[cH][cH][c]([O][CH3])[cH][c]21,O=C1COc2ccccc2N1CCN1CCC(NCc2cc3c(cn2)OCCO3)CC1,[CH3][CH2][N]1[C](=[O])[CH2][O][c]2[cH][cH][cH][cH][c]21,2
[*]CCN1CCC(NCc2cc3c(cn2)OCCO3)CC1,COc1ccc2ncc(=O)n(CCN3CCC(NCc4cc5c(cn4)OCCO5)CC3)c2c1,[cH2][c]([cH][c]1[cH][n][cH][c](=[O])[n]1[CH3])[O][CH3],O=C1COc2ccccc2N1CCN1CCC(NCc2cc3c(cn2)OCCO3)CC1,[cH2][cH][cH][c]1[cH][O][CH2][C](=[O])[N]1[CH3],1
[*]CCN1CCN(c2cccc(Cl)c2)C1=O,CN(CCN1CCN(c2cccc(Cl)c2)C1=O)CC12CCC(CC1)C2(C)C,[CH3][N]([CH3])[CH2][CH2][N]([CH3])[CH2][C]12[CH2][CH2][CH]([CH2][CH2]1)[C]2([CH3])[CH3],O=C1N(CCN2C[C@H]3CC[C@@H]2C3)CCN1c1cccc(Cl)c1,[H][C@]12[CH2][CH2][C@]([H])([CH2]1)[N]([CH2][CH2][N]([CH3])[CH3])[CH2]2,4
[*]CCN1CCN(c2cccc(Cl)c2)C1=O,CN(CCN1CCN(c2cccc(Cl)c2)C1=O)CC12CCC(CC1)C2(C)C,[CH3][N]([CH2][CH2][NH2])[CH2][C]12[CH2][CH2][CH]([CH2][CH2]1)[C]2([CH3])[CH3],O=C1N(CCN2C[C@H]3CC[C@@H]2C3)CCN1c1cccc(Cl)c1,[H][C@]12[CH2][CH2][C@]([H])([CH2]1)[N]([CH2][CH2][NH2])[CH2]2,3
[*]CCN1CCN(c2cccc(Cl)c2)C1=O,CN(CCN1CCN(c2cccc(Cl)c2)C1=O)CC12CCC(CC1)C2(C)C,[CH3][CH2][N]([CH3])[CH2][C]12[CH2][CH2][CH]([CH2][CH2]1)[C]2([CH3])[CH3],O=C1N(CCN2C[C@H]3CC[C@@H]2C3)CCN1c1cccc(Cl)c1,[H][C@]12[CH2][CH2][C@]([H])([CH2]1)[N]([CH2][CH3])[CH2]2,2
[*]CCN1CCN(c2cccc(Cl)c2)C1=O,CN(CCN1CCN(c2cccc(Cl)c2)C1=O)CC12CCC(CC1)C2(C)C,[CH3][N]([CH3])[CH2][C]12[CH2][CH2][CH]([CH2][CH2]1)[C]2([CH3])[CH3],O=C1N(CCN2C[C@H]3CC[C@@H]2C3)CCN1c1cccc(Cl)c1,[H][C@]12[CH2][CH2][C@]([H])([CH2]1)[N]([CH3])[CH2]2,1
[*]C(=O)c1[nH]c2cc(F)ccc2c1C1CNCC[C@H]1F,O=C(Nc1ccccc1)c1[nH]c2cc(F)ccc2c1C1CNCC[C@H]1F,[CH3][c]1[cH][cH][nH][c]1[C](=[O])[NH][c]1[cH][cH][cH][cH][cH]1,COC(=O)c1[nH]c2cc(F)ccc2c1C1CNCC[C@H]1F,[CH3][O][C](=[O])[c]1[nH][cH][cH][c]1[CH3],4
[*]C(=O)c1[nH]c2cc(F)ccc2c1C1CNCC[C@H]1F,O=C(Nc1ccccc1)c1[nH]c2cc(F)ccc2c1C1CNCC[C@H]1F,[cH2][c]([nH])[C](=[O])[NH][c]1[cH][cH][cH][cH][cH]1,COC(=O)c1[nH]c2cc(F)ccc2c1C1CNCC[C@H]1F,[cH2][c]([nH])[C](=[O])[O][CH3],3
[*]C(=O)c1[nH]c2cc(F)ccc2c1C1CNCC[C@H]1F,O=C(Nc1ccccc1)c1[nH]c2cc(F)ccc2c1C1CNCC[C@H]1F,[cH3][C](=[O])[NH][c]1[cH][cH][cH][cH][cH]1,COC(=O)c1[nH]c2cc(F)ccc2c1C1CNCC[C@H]1F,[CH3][O][C]([cH3])=[O],2
[*]C(=O)c1[nH]c2cc(F)ccc2c1C1CNCC[C@H]1F,O=C(Nc1ccccc1)c1[nH]c2cc(F)ccc2c1C1CNCC[C@H]1F,[CH3][NH][c]1[cH][cH][cH][cH][cH]1,COC(=O)c1[nH]c2cc(F)ccc2c1C1CNCC[C@H]1F,[CH3][O][CH3],1
[*]c1nc2ccccc2n1Cc1ccc(F)cc1,CN1CCC[C@@H](c2nc3ccccc3n2Cc2ccc(F)cc2)C1,[H][C@@]1([c]2[n][c]([cH2])[c]([cH2])[n]2[CH2][cH3])[CH2][CH2][CH2][N]([CH3])[CH2]1,Cc1cnn(C2CCN(c3nc4ccccc4n3Cc3ccc(F)cc3)CC2)c1,[cH2][c]1[n][c]([N]2[CH2][CH2][CH]([n]3[cH][c]([CH3])[cH][n]3)[CH2][CH2]2)[n]([CH2][cH3])[c]1[cH2],4
[*]c1nc2ccccc2n1Cc1ccc(F)cc1,CN1CCC[C@@H](c2nc3ccccc3n2Cc2ccc(F)cc2)C1,[H][C@@]1([c]2[n][cH][cH][n]2[CH3])[CH2][CH2][CH2][N]([CH3])[CH2]1,Cc1cnn(C2CCN(c3nc4ccccc4n3Cc3ccc(F)cc3)CC2)c1,[CH3][c]1[cH][n][n]([CH]2[CH2][CH2][N]([c]3[n][cH][cH][n]3[CH3])[CH2][CH2]2)[cH]1,3
[*]c1nc2ccccc2n1Cc1ccc(F)cc1,CN1CCC[C@@H](c2nc3ccccc3n2Cc2ccc(F)cc2)C1,[H][C@@]1([c]([nH])[nH])[CH2][CH2][CH2][N]([CH3])[CH2]1,Cc1cnn(C2CCN(c3nc4ccccc4n3Cc3ccc(F)cc3)CC2)c1,[CH3][c]1[cH][n][n]([CH]2[CH2][CH2][N]([c]([nH])[nH])[CH2][CH2]2)[cH]1,2
[*]c1nc2ccccc2n1Cc1ccc(F)cc1,CN1CCC[C@@H](c2nc3ccccc3n2Cc2ccc(F)cc2)C1,[H][C@@]1([cH3])[CH2][CH2][CH2][N]([CH3])[CH2]1,Cc1cnn(C2CCN(c3nc4ccccc4n3Cc3ccc(F)cc3)CC2)c1,[CH3][c]1[cH][n][n]([CH]2[CH2][CH2][N]([cH3])[CH2][CH2]2)[cH]1,1
[*]c1ncn2c1COc1c(CCN3CCN(c4cccc5nc(C)ccc54)CC3)cccc1-2,Cc1ccc2c(cccc2N2CCN(CCc3cccc4c3OCc3cncn3-4)CC2)n1,[cH2][c]1[cH][O][CH2][c]2[cH][n][cH][n]2-1,CNC(=O)c1ncn2c1COc1c(CCN3CCN(c4cccc5nc(C)ccc54)CC3)cccc1-2,[cH2][c]1[cH][O][CH2][c]2[c]([C](=[O])[NH][CH3])[n][cH][n]2-1,4
[*]c1ncn2c1COc1c(CCN3CCN(c4cccc5nc(C)ccc54)CC3)cccc1-2,Cc1ccc2c(cccc2N2CCN(CCc3cccc4c3OCc3cncn3-4)CC2)n1,[cH3]-[n]1[cH][n][cH][c]1[CH2][OH],CNC(=O)c1ncn2c1COc1c(CCN3CCN(c4cccc5nc(C)ccc54)CC3)cccc1-2,[CH3][NH][C](=[O])[c]1[n][cH][n](-[cH3])[c]1[CH2][OH],3
[*]c1ncn2c1COc1c(CCN3CCN(c4cccc5nc(C)ccc54)CC3)cccc1-2,Cc1ccc2c(cccc2N2CCN(CCc3cccc4c3OCc3cncn3-4)CC2)n1,[CH3][c]1[cH][n][cH][n]1,CNC(=O)c1ncn2c1COc1c(CCN3CCN(c4cccc5nc(C)ccc54)CC3)cccc1-2,[CH3][NH][C](=[O])[c]1[n][cH][n][c]1[CH3],2
[*]c1ncn2c1COc1c(CCN3CCN(c4cccc5nc(C)ccc54)CC3)cccc1-2,Cc1ccc2c(cccc2N2CCN(CCc3cccc4c3OCc3cncn3-4)CC2)n1,[cH2][cH][nH],CNC(=O)c1ncn2c1COc1c(CCN3CCN(c4cccc5nc(C)ccc54)CC3)cccc1-2,[cH2][c]([nH])[C](=[O])[NH][CH3],1
[*]c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1,C[C@@H]1CCCN1CCc1ccc2nc(-c3ccc4c(c3)COCO4)ccc2c1,[cH2][c]1[cH][cH][cH][c](-[c]2[cH][cH][c]3[c]([cH]2)[CH2][O][CH2][O]3)[n]1,C[C@@H]1CCCN1CCc1ccc2nc(C3CC3)ccc2c1,[cH2][c]1[cH][cH][cH][c]([CH]2[CH2][CH2]2)[n]1,4
[*]c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1,C[C@@H]1CCCN1CCc1ccc2nc(-c3ccc4c(c3)COCO4)ccc2c1,[cH2][cH][c]([n][cH2])-[c]1[cH][cH][c]2[c]([cH]1)[CH2][O][CH2][O]2,C[C@@H]1CCCN1CCc1ccc2nc(C3CC3)ccc2c1,[cH2][cH][c]([n][cH2])[CH]1[CH2][CH2]1,3
[*]c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1,C[C@@H]1CCCN1CCc1ccc2nc(-c3ccc4c(c3)COCO4)ccc2c1,[cH2][c]([nH])-[c]1[cH][cH][c]2[c]([cH]1)[CH2][O][CH2][O]2,C[C@@H]1CCCN1CCc1ccc2nc(C3CC3)ccc2c1,[cH2][c]([nH])[CH]1[CH2][CH2]1,2
[*]c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1,C[C@@H]1CCCN1CCc1ccc2nc(-c3ccc4c(c3)COCO4)ccc2c1,[cH3]-[c]1[cH][cH][c]2[c]([cH]1)[CH2][O][CH2][O]2,C[C@@H]1CCCN1CCc1ccc2nc(C3CC3)ccc2c1,[cH3][CH]1[CH2][CH2]1,1
[*]c1c(C(C)(C)C)cc(C(=O)NCC2CCN(C(=O)CCCCC(c3ccc(F)cc3)c3ccc(F)cc3)C2)cc1C(C)(C)C,CC(C)(C)c1cc(C(=O)NCC2CCN(C(=O)CCCCC(c3ccc(F)cc3)c3ccc(F)cc3)C2)cc(C(C)(C)C)c1,[CH3][c]1[cH][c]([C]([CH3])([CH3])[CH3])[cH][c]([C]([CH3])([CH3])[CH3])[cH]1,COc1c(C(C)(C)C)cc(C(=O)NCC2CCN(C(=O)CCCCC(c3ccc(F)cc3)c3ccc(F)cc3)C2)cc1C(C)(C)C,[CH3][O][c]1[c]([C]([CH3])([CH3])[CH3])[cH][c]([CH3])[cH][c]1[C]([CH3])([CH3])[CH3],4
[*]c1c(C(C)(C)C)cc(C(=O)NCC2CCN(C(=O)CCCCC(c3ccc(F)cc3)c3ccc(F)cc3)C2)cc1C(C)(C)C,CC(C)(C)c1cc(C(=O)NCC2CCN(C(=O)CCCCC(c3ccc(F)cc3)c3ccc(F)cc3)C2)cc(C(C)(C)C)c1,[CH3][C]([CH3])([CH3])[c]1[cH][cH][cH][c]([C]([CH3])([CH3])[CH3])[cH]1,COc1c(C(C)(C)C)cc(C(=O)NCC2CCN(C(=O)CCCCC(c3ccc(F)cc3)c3ccc(F)cc3)C2)cc1C(C)(C)C,[CH3][O][c]1[c]([C]([CH3])([CH3])[CH3])[cH][cH][cH][c]1[C]([CH3])([CH3])[CH3],3
[*]c1c(C(C)(C)C)cc(C(=O)NCC2CCN(C(=O)CCCCC(c3ccc(F)cc3)c3ccc(F)cc3)C2)cc1C(C)(C)C,CC(C)(C)c1cc(C(=O)NCC2CCN(C(=O)CCCCC(c3ccc(F)cc3)c3ccc(F)cc3)C2)cc(C(C)(C)C)c1,[cH2][c]([CH3])[cH][c]([cH2])[CH3],COc1c(C(C)(C)C)cc(C(=O)NCC2CCN(C(=O)CCCCC(c3ccc(F)cc3)c3ccc(F)cc3)C2)cc1C(C)(C)C,[cH2][c]([CH3])[c]([O][CH3])[c]([cH2])[CH3],2
